iter	RMSE
782	4418.782083
783	4412.326258
784	4408.795105
785	4402.181718
786	4399.281442
787	4389.094314
788	4387.794626
789	4384.890377
790	4378.699247
791	4367.020716
792	4365.632671
793	4353.352142
794	4343.097195
795	4333.281867
796	4321.493002
797	4317.846403
798	4306.811804
799	4301.776691
800	4297.167726
801	4294.054435
802	4285.636824
803	4267.588967
804	4260.302653
805	4255.931545
806	4248.165192
807	4242.945459
808	4234.498534
809	4225.245021
810	4222.816957
811	4219.79657
812	4214.826225
813	4206.888681
814	4198.34877
815	4187.166857
816	4182.569521
817	4176.214116
818	4173.258594
819	4162.023596
820	4160.520963
821	4147.002633
822	4131.586618
823	4127.489915
824	4116.173654
825	4108.684802
826	4107.412994
827	4099.668321
828	4097.016789
829	4095.231232
830	4085.267184
831	4074.043278
832	4070.234033
833	4065.108605
834	4061.189428
835	4053.656807
836	4048.631512
837	4038.617023
838	4034.103195
839	4026.853649
840	4022.490196
841	4018.800277
842	4015.045019
843	4012.125166
844	4009.015317
845	4005.318834
846	4002.163647
847	3993.229405
848	3990.286968
849	3984.645131
850	3973.280034
851	3972.783049
852	3969.446874
853	3961.851163
854	3955.072245
855	3947.93235
856	3944.000358
857	3943.033254
858	3937.336171
859	3928.108692
860	3922.045321
861	3918.123232
862	3914.767959
863	3910.86356
864	3906.971068
865	3896.563866
866	3891.78303
867	3889.094671
868	3877.427948
869	3874.853876
870	3873.376176
871	3866.729101
872	3863.65216
873	3858.159457
874	3843.128944
875	3830.90304
876	3823.124893
877	3820.96959
878	3817.186677
879	3808.942611
880	3800.502436
881	3792.139574
882	3787.744861
883	3780.412348
884	3770.459278
885	3760.646105
886	3757.469521
887	3749.822884
888	3736.541587
889	3725.834058
890	3715.392519
891	3714.435439
892	3705.972942
893	3702.642149
894	3698.735904
895	3696.077491
896	3687.094389
897	3683.471489
898	3680.890173
899	3673.723968
900	3668.464446
901	3655.975075
902	3648.038434
903	3647.651894
904	3640.872023
905	3637.474939
906	3630.079154
907	3627.022921
908	3624.139016
909	3620.567372
910	3617.764043
911	3616.933635
912	3614.312496
913	3609.104143
914	3602.30877
915	3598.414167
916	3590.467996
917	3587.215828
918	3584.707097
919	3576.92257
920	3574.51912
921	3570.421161
922	3566.445602
923	3554.719654
924	3545.817308
925	3541.690346
926	3534.581222
927	3526.484456
928	3524.247522
929	3516.424852
930	3514.319387
931	3513.385807
932	3506.47097
933	3504.440292
934	3501.346971
935	3489.580385
936	3486.302388
937	3484.164026
938	3475.703853
939	3469.293911
940	3464.847455
941	3464.136903
942	3457.776254
943	3451.61262
944	3445.280144
945	3441.831231
946	3433.859367
947	3433.097631
948	3420.124249
949	3414.775424
950	3397.944305
951	3394.326499
952	3385.370718
953	3382.478472
954	3379.455806
955	3378.843799
956	3375.958177
957	3374.785786
958	3364.104274
959	3355.43552
960	3350.843851
961	3344.738188
962	3337.645557
963	3331.697276
964	3325.962484
965	3322.156439
966	3316.869727
967	3315.281878
968	3309.523515
969	3305.359418
970	3296.147068
971	3294.186404
972	3289.56751
973	3281.438572
974	3276.544477
975	3268.528278
976	3264.689202
977	3258.15074
978	3253.825108
979	3252.770258
980	3242.917459
981	3242.304675
982	3239.899422
983	3237.01282
984	3227.320015
985	3217.57445
986	3214.243149
987	3204.758534
988	3197.626684
989	3192.372912
990	3187.511961
991	3183.786788
992	3180.202834
993	3174.903692
994	3172.761198
995	3168.520487
996	3166.557827
997	3164.504879
998	3152.072991
999	3151.446747
